"","data/Exp1_A_Sample_1","data/Exp1_A_Sample_2","data/Exp1_B_Sample_1","data/Exp1_B_Sample_2","data/Exp1_C_Sample_1","data/Exp1_C_Sample_2"
"ENSG00000000001",1,1,0,1,0,0
"ENSG00000000002",21,31,16,20,9,7
"ENSG00000000003",2,1,0,0,0,0
"ENSG00000000004",35,15,13,18,17,36
"ENSG00000000005",53,21,47,61,17,21
"ENSG00000000006",0,0,1,0,1,1
"ENSG00000000007",49,40,61,67,31,76
"ENSG00000000008",1,1,1,3,5,2
"ENSG00000000009",2,0,1,0,0,2
"ENSG00000000010",15,9,4,9,4,16
"ENSG00000000011",0,2,0,1,2,1
"ENSG00000000012",68,48,44,52,28,66
"ENSG00000000013",58,63,51,56,58,46
"ENSG00000000014",20,33,30,18,14,16
"ENSG00000000015",7,7,4,9,8,2
"ENSG00000000016",1,1,0,1,0,0
"ENSG00000000017",24,45,47,55,52,78
"ENSG00000000018",1,0,0,1,1,1
"ENSG00000000019",185,54,65,138,24,51
"ENSG00000000020",8,10,5,8,7,11
"ENSG00000000021",1,2,3,6,7,2
"ENSG00000000022",25,24,19,25,10,23
"ENSG00000000023",0,1,3,6,1,4
"ENSG00000000024",7,4,8,0,0,4
"ENSG00000000025",5,9,5,3,3,1
"ENSG00000000026",2,0,0,0,1,1
"ENSG00000000027",105,11,24,101,87,177
"ENSG00000000028",16,40,28,31,15,15
"ENSG00000000029",2,1,1,0,4,3
"ENSG00000000030",0,0,1,0,0,0
"ENSG00000000031",111,37,92,69,54,13
"ENSG00000000032",9,47,14,8,12,8
"ENSG00000000033",228,140,94,73,100,133
"ENSG00000000034",0,1,0,0,1,1
"ENSG00000000035",0,0,0,0,1,2
"ENSG00000000036",93,129,73,90,86,87
"ENSG00000000037",0,0,0,0,0,0
"ENSG00000000038",4,33,17,7,15,15
"ENSG00000000039",11,2,4,12,14,3
"ENSG00000000040",17,13,6,4,3,11
"ENSG00000000041",1,2,0,0,1,2
"ENSG00000000042",0,1,1,0,0,1
"ENSG00000000043",0,0,0,1,0,0
"ENSG00000000044",1498,2583,1036,1320,324,1269
"ENSG00000000045",139,209,258,184,76,578
"ENSG00000000046",1,7,0,4,1,1
"ENSG00000000047",6,11,11,12,5,7
"ENSG00000000048",12,6,10,11,4,6
"ENSG00000000049",50,104,86,113,134,124
"ENSG00000000050",18,10,10,23,7,23
"ENSG00000000051",0,0,0,1,0,0
"ENSG00000000052",12,27,27,20,19,21
"ENSG00000000053",0,0,1,1,1,0
"ENSG00000000054",317,274,345,325,129,322
"ENSG00000000055",17,14,6,29,13,14
"ENSG00000000056",577,340,392,817,452,441
"ENSG00000000057",0,0,0,0,1,0
"ENSG00000000058",87,95,109,50,67,120
"ENSG00000000059",24,17,23,36,11,23
"ENSG00000000060",12,27,18,14,37,52
"ENSG00000000061",0,2,0,0,1,2
"ENSG00000000062",11,7,10,10,11,7
"ENSG00000000063",6,2,14,19,10,13
"ENSG00000000064",5,1,3,1,3,3
"ENSG00000000065",4,2,6,9,0,2
"ENSG00000000066",0,2,0,0,0,0
"ENSG00000000067",0,1,0,3,0,1
"ENSG00000000068",13,19,20,13,8,56
"ENSG00000000069",143,113,148,129,89,36
"ENSG00000000070",2,1,1,0,1,3
"ENSG00000000071",9,7,6,6,9,9
"ENSG00000000072",0,0,0,0,0,1
"ENSG00000000073",149,266,105,201,109,92
"ENSG00000000074",1,3,9,5,1,2
"ENSG00000000075",5,6,3,3,7,9
"ENSG00000000076",88,160,218,90,189,354
"ENSG00000000077",15,11,9,9,2,8
"ENSG00000000078",6,0,1,1,1,0
"ENSG00000000079",0,0,2,2,1,0
"ENSG00000000080",15,14,7,9,20,12
"ENSG00000000081",4,0,0,0,0,1
"ENSG00000000082",65,54,67,10,62,44
"ENSG00000000083",1,1,1,0,0,0
"ENSG00000000084",70,11,44,55,91,66
"ENSG00000000085",8,8,8,9,8,26
"ENSG00000000086",58,40,18,36,32,28
"ENSG00000000087",107,105,338,134,132,125
"ENSG00000000088",0,1,0,0,2,1
"ENSG00000000089",15,0,20,12,7,5
