"","Exp3_A_Sample_1","Exp3_A_Sample_2","Exp3_B_Sample_1","Exp3_B_Sample_2","Exp3_C_Sample_1","Exp3_C_Sample_2"
"ENSG00000000001",253,331,165,244,213,283
"ENSG00000000002",0,0,0,0,0,0
"ENSG00000000003",0,0,0,0,0,0
"ENSG00000000004",132,42,98,34,49,75
"ENSG00000000005",75,15,32,54,54,29
"ENSG00000000006",2,0,0,1,0,0
"ENSG00000000007",0,0,0,0,0,0
"ENSG00000000008",0,4,0,0,0,1
"ENSG00000000009",771,1536,375,1280,1919,674
"ENSG00000000010",17,21,6,27,11,24
"ENSG00000000011",0,0,1,0,1,1
"ENSG00000000012",1533,966,3322,2314,936,1972
"ENSG00000000013",0,0,0,0,0,0
"ENSG00000000014",0,1,0,0,0,1
"ENSG00000000015",36,11,4,12,21,13
"ENSG00000000016",101,92,74,51,76,40
"ENSG00000000017",0,1,0,0,0,0
"ENSG00000000018",2,1,0,0,0,0
"ENSG00000000019",3,1,1,0,1,0
"ENSG00000000020",1,0,1,0,0,0
"ENSG00000000021",14,11,2,13,13,19
"ENSG00000000022",0,0,1,0,0,3
"ENSG00000000023",0,0,0,1,1,0
"ENSG00000000024",366,211,131,232,372,324
"ENSG00000000025",0,0,0,0,0,0
"ENSG00000000026",9,10,4,13,13,4
"ENSG00000000027",7,20,16,13,5,14
"ENSG00000000028",1,0,2,1,0,1
"ENSG00000000029",0,0,0,0,0,0
"ENSG00000000030",16,3,10,1,5,0
"ENSG00000000031",29,74,32,63,29,46
"ENSG00000000032",47,95,81,33,101,114
"ENSG00000000033",0,0,0,0,0,0
"ENSG00000000034",0,1,0,0,2,3
"ENSG00000000035",90,35,34,44,68,44
"ENSG00000000036",0,1,2,0,0,0
"ENSG00000000037",1,6,3,4,4,1
"ENSG00000000038",4,3,0,10,2,5
"ENSG00000000039",1,1,0,0,0,0
"ENSG00000000040",31,6,20,19,33,26
"ENSG00000000041",13,52,8,23,30,18
"ENSG00000000042",17,6,3,7,4,6
"ENSG00000000043",102,106,105,74,88,70
"ENSG00000000044",0,0,0,3,1,0
"ENSG00000000045",0,1,1,0,2,0
"ENSG00000000046",1,0,0,1,0,0
"ENSG00000000047",4,3,4,3,3,5
"ENSG00000000048",421,385,304,531,664,358
"ENSG00000000049",0,0,1,0,0,1
"ENSG00000000050",2,0,1,0,1,0
"ENSG00000000051",76,83,23,17,61,36
"ENSG00000000052",9,8,2,8,3,12
"ENSG00000000053",0,0,0,1,0,0
"ENSG00000000054",81,173,49,9,64,66
"ENSG00000000055",13,8,18,22,6,25
"ENSG00000000056",48,38,33,18,11,31
"ENSG00000000057",0,1,2,1,0,0
"ENSG00000000058",5,18,21,27,19,30
"ENSG00000000059",0,0,0,0,0,0
"ENSG00000000060",0,0,0,1,0,0
"ENSG00000000061",13,8,7,2,9,10
"ENSG00000000062",0,0,0,0,0,0
"ENSG00000000063",31,65,31,41,46,65
"ENSG00000000064",1,1,0,1,1,0
"ENSG00000000065",2,4,8,7,3,4
"ENSG00000000066",241,289,363,165,178,195
"ENSG00000000067",0,1,0,2,1,0
"ENSG00000000068",154,149,76,181,151,194
"ENSG00000000069",1,2,2,1,1,1
"ENSG00000000070",198,22,78,46,44,76
"ENSG00000000071",5,2,1,1,0,1
"ENSG00000000072",0,2,0,0,1,0
"ENSG00000000073",46,89,60,65,108,77
"ENSG00000000074",4,3,4,3,0,5
"ENSG00000000075",10,8,5,2,7,7
"ENSG00000000076",36,31,37,78,58,117
"ENSG00000000077",1,1,0,0,1,0
"ENSG00000000078",0,0,0,0,0,0
"ENSG00000000079",8,5,0,4,1,3
"ENSG00000000080",4,0,1,6,2,1
"ENSG00000000081",740,378,263,210,787,323
"ENSG00000000082",0,0,0,0,0,0
"ENSG00000000083",2,0,0,1,1,0
"ENSG00000000084",1,2,0,1,1,0
"ENSG00000000085",0,2,0,1,1,3
"ENSG00000000086",95,20,54,35,44,79
"ENSG00000000087",0,0,0,0,0,0
"ENSG00000000088",10,26,3,17,12,7
"ENSG00000000089",311,148,47,113,80,141
"ENSG00000000090",1,0,0,0,1,0
"ENSG00000000091",494,245,321,489,270,328
"ENSG00000000092",0,2,0,0,0,0
"ENSG00000000093",46,44,78,49,40,133
"ENSG00000000094",0,1,0,0,0,1
"ENSG00000000095",1,2,3,1,1,4
"ENSG00000000096",2,4,2,2,1,6
"ENSG00000000097",4,4,2,1,1,4
"ENSG00000000098",2,0,0,0,0,0
"ENSG00000000099",31,8,39,20,15,29
"ENSG00000000100",111,62,62,93,116,50
"ENSG00000000101",272,274,162,53,198,210
"ENSG00000000102",346,54,84,95,152,150
"ENSG00000000103",1,0,1,1,0,0
"ENSG00000000104",362,822,1306,552,1163,1010
"ENSG00000000105",0,0,0,0,0,0
"ENSG00000000106",0,0,0,0,1,0
"ENSG00000000107",9,19,11,6,6,10
"ENSG00000000108",9,6,18,11,12,14
"ENSG00000000109",35,14,31,50,36,19
"ENSG00000000110",5,23,18,33,37,18
"ENSG00000000111",21,7,17,4,23,11
"ENSG00000000112",21,8,3,12,18,11
"ENSG00000000113",0,0,0,3,0,0
"ENSG00000000114",11,6,6,10,3,2
"ENSG00000000115",2,0,0,0,0,0
"ENSG00000000116",18,18,9,7,3,8
"ENSG00000000117",7,5,5,11,1,8
"ENSG00000000118",7847,2322,1425,7159,5655,4220
"ENSG00000000119",2,0,2,0,2,0
"ENSG00000000120",2,1,0,1,0,0
"ENSG00000000121",0,3,1,0,0,3
"ENSG00000000122",1,2,0,0,0,2
"ENSG00000000123",0,0,1,0,0,0
"ENSG00000000124",0,4,1,2,1,1
"ENSG00000000125",32,12,13,7,17,13
"ENSG00000000126",5,4,4,7,17,9
"ENSG00000000127",0,2,1,0,0,2
"ENSG00000000128",0,0,1,1,0,0
"ENSG00000000129",2,1,0,3,0,0
"ENSG00000000130",23,17,24,11,15,18
"ENSG00000000131",41,79,22,52,109,19
"ENSG00000000132",2,1,1,0,0,1
"ENSG00000000133",18,12,25,26,9,18
